bf800000:	dummy;	3.4.0	1.8.4	0	1	0	0
3e5c22b0:	time lag;	0.20753	0.21318
3e5485a0:	dummy;	0.214134	12	-12	88
3e5c2ce0:	time lag;	0.20754	0.21413
3e55af70:	dummy;	0.215087	12	-12	88
3e5c3690:	time lag;	0.20868	0.21509
3e56d9c0:	dummy;	0.216028	12	-12	88
3e5c4090:	time lag;	0.20982	0.21603
3e580880:	dummy;	0.216972	12	-12	86
3e5c4a80:	time lag;	0.21097	0.21697
3e592ff0:	dummy;	0.217931	11	-12	84
3e64af90:	time lag;	0.21210	0.21793
3e5a5440:	dummy;	0.218887	10	-12	82
3e64c730:	time lag;	0.21321	0.21889
3e5b6f60:	dummy;	0.219845	9	-12	80
3e64d3c0:	time lag;	0.21429	0.21985
3e5dbf00:	dummy;	0.220801	8	-12	80
3e64e720:	time lag;	0.21655	0.22080
3e5dc330:	dummy;	0.221759	8	-12	80
3e64fad0:	time lag;	0.21656	0.22176
3e5dc440:	dummy;	0.222698	8	-12	80
3e651090:	time lag;	0.21657	0.22270
3e5edbb0:	dummy;	0.223656	8	-12	80
3e651fc0:	time lag;	0.21763	0.22366
3e600220:	dummy;	0.224612	8	-12	80
3e653050:	time lag;	0.21876	0.22461
3e612be0:	dummy;	0.225568	8	-12	80
3e653da0:	time lag;	0.21989	0.22557
3e625250:	dummy;	0.226525	8	-12	80
3e6d8800:	time lag;	0.22102	0.22653
3e637370:	dummy;	0.227482	8	-12	80
3e6d9ba0:	time lag;	0.22212	0.22748
3e64af90:	dummy;	0.228438	8	-12	80
3e6da9d0:	time lag;	0.22333	0.22844
3e65c2d0:	dummy;	0.229395	8	-12	80
3e6db6a0:	time lag;	0.22438	0.22939
3e66eca0:	dummy;	0.230352	8	-12	80
3e6dc270:	time lag;	0.22551	0.23035
3e66ef80:	dummy;	0.23131	8	-12	80
3e6dce40:	time lag;	0.22552	0.23131
3e67f800:	dummy;	0.232266	8	-12	80
3e6dd9c0:	time lag;	0.22653	0.23227
3e691210:	dummy;	0.233223	8	-11	82
3e6de510:	time lag;	0.22761	0.23322
3e6ab540:	dummy;	0.23418	8	-10	84
3e76dc60:	time lag;	0.22921	0.23418
3e6aba80:	dummy;	0.235137	8	-9	86
3e76ef80:	time lag;	0.22923	0.23514
3e6b4780:	dummy;	0.236094	8	-8	88
3e76ff80:	time lag;	0.22976	0.23609
3e6c7470:	dummy;	0.237046	8	-8	88
3e771110:	time lag;	0.23091	0.23705
3e6da3c0:	dummy;	0.237997	8	-8	88
3e7727a0:	time lag;	0.23207	0.23800
3e6ed780:	dummy;	0.23894	8	-8	88
3e773820:	time lag;	0.23324	0.23894
3e701110:	dummy;	0.239895	8	-8	88
3e7746d0:	time lag;	0.23444	0.23989
3e713ec0:	dummy;	0.24085	8	-8	88
3e775cd0:	time lag;	0.23559	0.24085
3e714230:	dummy;	0.241805	8	-8	88
3e776ff0:	time lag;	0.23560	0.24180
3e726910:	dummy;	0.242756	8	-8	88
3e777e20:	time lag;	0.23673	0.24276
3e745130:	dummy;	0.2437	8	-8	88
3e7feca0:	time lag;	0.23859	0.24370
3e749900:	dummy;	0.244655	8	-8	88
3e7fff30:	time lag;	0.23886	0.24466
3e75c9a0:	dummy;	0.24561	8	-8	88
3e800738:	time lag;	0.24003	0.24561
3e76f4c0:	dummy;	0.246564	8	-8	88
3e800fb8:	time lag;	0.24117	0.24656
3e781c30:	dummy;	0.247521	8	-8	88
3e8016f0:	time lag;	0.24230	0.24752
3e7943a0:	dummy;	0.248476	8	-8	88
3e802320:	time lag;	0.24342	0.24848
3e7a6870:	dummy;	0.249433	7	-8	88
3e802d78:	time lag;	0.24454	0.24943
3e7a6c20:	dummy;	0.250389	6	-8	88
3e803688:	time lag;	0.24455	0.25039
3e7b7b70:	dummy;	0.251346	5	-8	88
3e803fd8:	time lag;	0.24559	0.25135
3e7d5390:	dummy;	0.252302	4	-8	88
3e8499d0:	time lag;	0.24739	0.25230
3e7db6a0:	dummy;	0.253259	4	-8	88
3e84a128:	time lag;	0.24777	0.25326
3e7edea0:	dummy;	0.254214	4	-8	88
